Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth,Catalog
  1973,01,29,212339.60, 23.948, 123.438,4.9, 53,PDE  
  1973,02,10,033228   , 24.272, 121.751,4.8, 56,PDE  
  1973,03,03,014341.80, 24.985, 128.198,5.3, 33,PDE  
  1973,03,25,062655.10, 24.702, 123.799,4.0, 98,PDE  
  1973,03,26,023721.30, 23.415, 123.957,6.0, 16,PDE  
  1973,03,26,225330.60, 24.530, 121.972,4.8, 29,PDE  
  1973,03,27,033742.80, 24.323, 123.556,5.0, 77,PDE  
  1973,03,27,235549.40, 23.845, 123.735,   , 33,PDE  
  1973,03,28,235547.30, 23.338, 123.757,6.0, 33,PDE  
  1973,03,29,152206.70, 23.861, 123.420,4.4, 33,PDE  
  1973,06,28,104933.40, 23.385, 123.488,5.2, 41,PDE  
  1973,07,23,100205.20, 24.078, 122.312,5.4, 42,PDE  
  1973,07,29,043310.60, 24.139, 125.124,4.4, 33,PDE  
  1973,08,17,014211.90, 23.334, 123.566,5.4, 28,PDE  
  1973,09,17,220916.60, 24.888, 122.026,4.9, 86,PDE  
  1973,09,28,085629.20, 23.763, 121.690,4.7, 33,PDE  
  1973,10,29,212523.50, 24.168, 121.800,4.3, 41,PDE  
  1973,11,24,135510.70, 25.140, 122.591,4.6, 79,PDE  
  1973,12,12,032422.40, 23.297, 126.263,4.9, 67,PDE  
  1974,01,22,230531.70, 24.869, 127.045,4.7,128,PDE  
  1974,02,17,190317.80, 24.282, 122.547,4.6, 81,PDE  
  1974,03,10,210939   , 24.524, 122.749,4.2,125,PDE  
  1974,03,12,180756   , 23.560, 125.395,4.8, 69,PDE  
  1974,04,21,150720.10, 25.245, 122.140,4.9,210,PDE  
  1974,05,07,014453.30, 24.038, 122.756,5.0, 36,PDE  
  1974,05,17,171150.80, 25.141, 125.555,5.8, 18,PDE  
  1974,06,02,220925.10, 23.747, 123.364,4.4, 34,PDE  
  1974,08,08,191645.90, 24.572, 122.687,6.0, 32,PDE  
  1974,08,12,234613.90, 23.992, 122.363,5.1, 26,PDE  
  1974,08,20,063147.30, 24.032, 122.359,4.8, 67,PDE  
  1974,09,10,134559.50, 23.680, 124.789,4.4, 28,PDE  
  1974,10,24,142154   , 23.853, 122.186,4.9, 53,PDE  
  1974,11,20,003933.50, 25.132, 123.466,4.9,173,PDE  
  1974,11,23,094403.80, 23.493, 123.752,5.4, 33,PDE  
  1974,12,01,065135.50, 24.245, 122.196,4.9, 62,PDE  
  1974,12,09,150731.10, 24.770, 122.622,4.5,129,PDE  
  1974,12,22,081904.90, 24.437, 124.908,4.9, 69,PDE  
  1974,12,28,051955.50, 24.618, 122.579,4.8,117,PDE  
  1975,01,30,130645.40, 25.178, 126.072,4.8, 51,PDE  
  1975,02,24,085742.70, 24.510, 123.110,4.9, 84,PDE  
  1975,03,04,224951.90, 25.207, 126.667,4.5, 60,PDE  
  1975,03,05,091532.30, 23.989, 122.560,4.7, 56,PDE  
  1975,03,10,065530.60, 24.346, 122.511,5.1, 68,PDE  
  1975,04,28,103928.90, 24.021, 122.397,5.0, 41,PDE  
  1975,05,24,005522.30, 25.029, 122.838,4.9,133,PDE  
  1975,06,06,154924.90, 23.442, 126.556,5.8, 16,PDE  
  1975,06,09,122805.80, 23.421, 122.012,4.1, 43,PDE  
  1975,06,11,064631.70, 23.430, 123.727,4.3, 30,PDE  
  1975,06,18,035610.10, 24.038, 122.505,4.0, 42,PDE  
  1975,06,24,232839.20, 22.918, 122.997,5.5, 13,PDE  
  1975,06,26,152531.50, 23.894, 121.679,5.1, 50,PDE  
  1975,07,01,092405.10, 24.836, 122.411,4.9,105,PDE  
  1975,07,11,051019.30, 24.077, 122.395,5.1, 48,PDE  
  1975,07,20,153822.70, 24.053, 121.707,5.2, 28,PDE  
  1975,07,23,045337.10, 23.966, 121.807,   , 15,PDE  
  1975,07,25,060033.90, 23.398, 123.444,4.5, 40,PDE  
  1975,08,22,224847.20, 23.293, 121.727,4.7, 62,PDE  
  1976,01,05,123823.20, 23.907, 122.445,5.1, 48,PDE  
  1976,01,23,182648.50, 24.619, 122.396,   , 27,PDE  
  1976,01,26,024756.50, 23.833, 123.669,5.4, 33,PDE  
  1976,02,05,040852.90, 23.456, 125.582,5.5, 33,PDE  
  1976,02,16,093348.20, 24.021, 122.638,5.0, 38,PDE  
  1976,02,23,090231.60, 23.019, 121.687,5.8, 33,PDE  
  1976,02,26,030744.90, 23.684, 121.846,   , 36,PDE  
  1976,03,10,155056.30, 23.994, 121.731,4.9, 33,PDE  
  1976,03,11,145543.30, 23.534, 124.359,4.7, 33,PDE  
  1976,03,20,010658.70, 24.284, 121.800,5.7, 40,PDE  
  1976,03,21,231042.60, 24.792, 122.588,4.9,124,PDE  
  1976,03,29,082206.30, 24.133, 122.690,4.7, 43,PDE  
  1976,04,21,194120.10, 24.004, 122.306,5.4, 38,PDE  
  1976,04,21,194556.80, 23.982, 122.399,4.9, 36,PDE  
  1976,05,05,162019.10, 23.339, 126.174,5.0, 15,PDE  
  1976,05,14,044920.70, 24.652, 121.912,3.9, 21,PDE  
  1976,06,02,102431.80, 25.286, 122.200,5.4,215,PDE  
  1976,06,10,052721.20, 24.653, 122.365,4.6,132,PDE  
  1976,06,18,100310.60, 24.407, 122.188,4.7, 17,PDE  
  1976,06,20,043808   , 24.742, 125.929,6.0, 36,PDE  
  1976,06,20,094608.90, 24.669, 125.268,4.7, 33,PDE  
  1976,06,23,044716.30, 23.842, 123.442,4.8, 40,PDE  
  1976,07,01,032037.20, 23.961, 123.538,4.9, 37,PDE  
  1976,07,12,061843.20, 22.945, 122.150,4.6, 40,PDE  
  1976,07,20,190817.60, 23.983, 122.618,4.0, 33,PDE  
  1976,08,29,160450.30, 24.936, 122.241,5.0,123,PDE  
  1976,09,04,021016.40, 24.908, 122.299,5.1, 39,PDE  
  1976,09,05,063122.50, 23.775, 122.428,4.7, 41,PDE  
  1976,09,09,093938   , 24.367, 121.808,5.3, 23,PDE  
  1976,09,09,095410.20, 24.316, 121.880,4.7, 25,PDE  
  1976,09,10,143727.20, 23.968, 122.620,5.1, 33,PDE  
  1976,09,22,084937.70, 23.967, 122.328,3.6, 52,PDE  
  1976,09,26,021939.80, 24.766, 122.040,4.3,  4,PDE  
  1976,10,07,102758.10, 24.544, 121.856,5.0, 80,PDE  
  1976,10,07,105743.70, 24.610, 121.798,   , 84,PDE  
  1976,10,16,051705.20, 24.780, 122.373,   , 62,PDE  
  1976,10,30,075625.60, 24.931, 124.633,4.8, 66,PDE  
  1976,11,19,181132.20, 24.399, 122.679,4.6, 67,PDE  
  1976,11,22,023220.40, 23.949, 122.399,4.8, 33,PDE  
  1977,01,17,082945.50, 24.038, 123.890,4.9, 78,PDE  
  1977,01,21,022006.30, 23.756, 121.916,5.3, 36,PDE  
  1977,02,26,090806.60, 23.745, 125.863,4.3, 38,PDE  
  1977,03,15,123923.90, 24.500, 122.580,4.8, 74,PDE  
  1977,03,22,022241.30, 24.380, 123.935,4.8, 33,PDE  
  1977,03,24,114841.40, 23.200, 121.869,   , 29,PDE  
  1977,04,16,031524.70, 25.254, 123.157,5.0,178,PDE  
  1977,04,22,092502.90, 24.284, 125.209,4.6, 66,PDE  
  1977,05,25,151238.50, 24.343, 121.931,4.9, 66,PDE  
  1977,06,09,002442.70, 23.718, 125.254,4.8, 35,PDE  
  1977,07,08,175923   , 23.916, 123.543,5.3, 53,PDE  
  1977,07,15,021254.40, 24.051, 122.214,5.7, 33,PDE  
  1977,07,24,090859.70, 24.136, 122.507,4.4, 63,PDE  
  1977,08,14,234719.50, 24.220, 122.107,4.4, 33,PDE  
  1977,08,23,055354.20, 24.974, 121.898,4.2,143,PDE  
  1977,09,02,145445   , 23.161, 124.792,4.3, 33,PDE  
  1977,09,04,044500.90, 25.146, 125.992,4.8, 44,PDE  
  1977,09,15,165233.30, 24.741, 125.331,4.1, 68,PDE  
  1977,10,31,054645.60, 23.991, 121.887,   , 31,PDE  
  1977,10,31,142445.70, 24.410, 122.278,4.0, 55,PDE  
  1977,11,02,010245.80, 24.667, 121.926,4.9, 85,PDE  
  1977,11,16,185720.60, 24.814, 123.023,5.0,129,PDE  
  1977,11,25,194708.90, 23.651, 121.771,4.1, 10,PDE  
  1977,12,01,173843.90, 25.014, 123.240,4.6,153,PDE  
  1977,12,06,061859.40, 23.074, 121.711,4.9, 45,PDE  
  1977,12,07,071215.40, 24.893, 121.879,4.6, 33,PDE  
  1977,12,07,072652.60, 25.104, 122.115,4.2, 33,PDE  
  1977,12,07,225751.50, 24.167, 125.040,4.3, 33,PDE  
  1977,12,08,032849.90, 23.806, 124.982,4.4, 41,PDE  
  1977,12,12,054520.30, 24.491, 122.933,   , 80,PDE  
  1977,12,22,185744   , 24.038, 124.893,4.6, 33,PDE  
  1977,12,25,223348.10, 24.175, 121.690,5.2, 40,PDE  
  1977,12,28,235630.20, 24.111, 121.932,4.0, 38,PDE  
  1978,01,31,071851.90, 23.583, 121.705,5.0, 63,PDE  
  1978,02,08,001538.90, 24.146, 122.663,5.7, 40,PDE  
  1978,02,08,012704.40, 23.973, 122.767,4.7, 40,PDE  
  1978,02,08,031033   , 24.823, 121.980,4.2,102,PDE  
  1978,03,14,203215   , 24.072, 122.638,5.5, 43,PDE  
  1978,03,17,001616.40, 23.680, 121.805,   ,  9,PDE  
  1978,03,17,061621.30, 24.936, 122.082,4.5,100,PDE  
  1978,04,03,174051   , 23.435, 122.246,4.3, 35,PDE  
  1978,04,11,191613.90, 24.746, 121.931,4.2, 78,PDE  
  1978,04,14,131213.60, 23.812, 121.742,4.5, 54,PDE  
  1978,04,14,222519.70, 23.928, 122.477,   , 36,PDE  
  1978,04,14,223329   , 23.920, 122.522,   , 33,PDE  
  1978,04,29,192520.90, 24.656, 122.715,5.8, 18,PDE  
  1978,05,06,100248.70, 24.682, 122.645,4.6, 37,PDE  
  1978,05,07,000349.80, 25.159, 121.941,4.2,181,PDE  
  1978,05,12,051232   , 23.152, 122.246,4.5, 29,PDE  
  1978,05,12,182426.20, 24.570, 122.812,4.1,102,PDE  
  1978,05,27,134410.70, 23.970, 121.820,4.9, 33,PDE  
  1978,05,30,150904.50, 24.380, 121.994,5.0,  2,PDE  
  1978,06,01,152016.10, 24.486, 121.897,4.0, 33,PDE  
  1978,06,05,020243.80, 23.818, 122.771,4.5, 33,PDE  
  1978,06,08,232502   , 25.069, 123.391,4.4,164,PDE  
  1978,07,01,061319.50, 25.339, 122.175,4.3,229,PDE  
  1978,07,20,020526   , 24.627, 123.123,4.5, 33,PDE  
  1978,07,30,164548.60, 24.393, 122.001,   , 13,PDE  
  1978,07,31,002042.40, 24.437, 121.862,4.9, 27,PDE  
  1978,08,14,165012.90, 24.410, 121.742,4.2, 17,PDE  
  1978,08,29,073503.30, 24.877, 125.330,5.3, 48,PDE  
  1978,09,02,015733.40, 24.896, 121.985,6.1,109,PDE  
  1978,09,04,105539.60, 24.553, 122.799,   , 91,PDE  
  1978,09,05,034232.20, 23.954, 121.687,5.3, 17,PDE  
  1978,09,05,135127.60, 23.920, 121.868,   , 10,PDE  
  1978,09,05,150347.70, 23.938, 121.850,4.2,  9,PDE  
  1978,09,06,005901.40, 24.080, 121.964,4.7,  8,PDE  
  1978,09,08,121904.90, 24.115, 121.862,5.0, 19,PDE  
  1978,09,10,155034.70, 24.181, 121.775,5.1, 21,PDE  
  1978,09,10,161052.80, 24.144, 121.884,5.0, 17,PDE  
  1978,09,10,161348   , 24.141, 121.726,5.0, 21,PDE  
  1978,09,10,163402.20, 24.123, 121.710,5.4, 15,PDE  
  1978,09,11,074052.50, 24.927, 124.847,5.7, 21,PDE  
  1978,09,11,111444.30, 24.965, 124.849,4.9, 58,PDE  
  1978,09,11,222536.60, 24.117, 121.772,5.2, 19,PDE  
  1978,09,13,005333.10, 24.059, 121.747,4.4, 17,PDE  
  1978,09,15,112711.70, 24.818, 124.861,4.9, 15,PDE  
  1978,10,08,155300.60, 23.900, 126.446,4.4, 98,PDE  
  1978,10,09,192251.60, 24.295, 125.078,5.1, 44,PDE  
  1978,10,17,010233.60, 23.889, 122.572,   , 33,PDE  
  1978,10,28,164343.70, 23.987, 122.279,4.6, 43,PDE  
  1978,10,28,185844.40, 24.028, 121.753,4.0, 40,PDE  
  1978,11,06,183805.70, 24.731, 123.350,4.7, 97,PDE  
  1978,11,07,180159.30, 24.082, 122.645,5.4, 30,PDE  
  1978,11,26,174453.30, 24.793, 122.357,4.6, 33,PDE  
  1978,11,29,163240.80, 24.826, 124.956,4.9, 33,PDE  
  1978,12,22,184412   , 23.986, 122.985,3.9, 33,PDE  
  1978,12,23,112312   , 23.247, 122.075,7.2, 33,PDE  
  1978,12,23,114609.10, 23.244, 121.992,   , 34,PDE  
  1978,12,23,121415.40, 23.107, 122.176,4.5, 33,PDE  
  1978,12,23,130141.60, 23.122, 121.937,4.7, 33,PDE  
  1978,12,23,130839.90, 23.363, 121.888,5.0, 33,PDE  
  1978,12,23,141013.50, 23.324, 122.069,   , 33,PDE  
  1978,12,23,150352.90, 23.050, 121.873,5.0, 33,PDE  
  1978,12,23,151620.60, 22.978, 122.323,   , 33,PDE  
  1978,12,23,161327.50, 23.185, 122.086,   , 33,PDE  
  1978,12,23,161510.10, 23.272, 121.942,   , 33,PDE  
  1978,12,23,201131.40, 23.080, 121.941,   , 33,PDE  
  1978,12,23,210045.80, 23.178, 122.058,   , 33,PDE  
  1978,12,23,222857.40, 23.046, 122.087,3.9, 33,PDE  
  1978,12,23,233435.40, 23.077, 121.949,   , 33,PDE  
  1978,12,24,010557.20, 23.313, 122.075,   , 33,PDE  
  1978,12,24,013532.20, 23.311, 121.990,   , 33,PDE  
  1978,12,24,014317.90, 23.070, 122.084,4.0, 34,PDE  
  1978,12,24,024514.50, 23.165, 122.010,4.2, 33,PDE  
  1978,12,24,040831.50, 23.319, 121.754,   , 33,PDE  
  1978,12,24,052347.10, 24.850, 122.476,4.0, 33,PDE  
  1978,12,24,071714.80, 23.054, 122.108,   , 33,PDE  
  1978,12,24,074941.90, 23.072, 122.053,   , 33,PDE  
  1978,12,24,080457.90, 23.210, 122.023,   , 33,PDE  
  1978,12,24,101549.70, 23.417, 121.808,   , 33,PDE  
  1978,12,24,101859.90, 23.148, 121.955,   , 33,PDE  
  1978,12,24,141939.50, 23.333, 121.925,   , 33,PDE  
  1978,12,24,202353.40, 23.071, 122.081,   , 33,PDE  
  1978,12,24,210515.20, 23.197, 121.904,4.0, 33,PDE  
  1978,12,24,222435   , 23.214, 121.875,   , 33,PDE  
  1978,12,24,235444.10, 23.157, 121.991,   , 33,PDE  
  1978,12,26,023030.20, 22.984, 121.701,   , 10,PDE  
  1978,12,26,074908.40, 22.907, 121.700,5.3, 10,PDE  
  1978,12,27,144634.80, 23.245, 122.159,4.9, 33,PDE  
  1978,12,31,070746   , 23.280, 122.042,   , 33,PDE  
  1978,12,31,194853.40, 23.228, 121.963,   , 33,PDE  
  1979,01,03,200019.40, 23.233, 122.085,4.3, 47,PDE  
  1979,01,04,013037.30, 23.078, 122.016,4.5, 33,PDE  
  1979,01,05,080123.10, 24.314, 123.169,4.9, 34,PDE  
  1979,01,05,165920.10, 24.029, 125.042,4.6, 44,PDE  
  1979,01,09,060001   , 23.267, 121.999,   , 33,PDE  
  1979,01,10,150957   , 23.113, 122.016,   , 33,PDE  
  1979,01,14,023327.20, 23.274, 121.952,4.8, 42,PDE  
  1979,01,18,174738.60, 23.466, 121.676,   , 33,PDE  
  1979,01,18,181952.60, 23.406, 122.318,   , 33,PDE  
  1979,01,18,183521   , 23.282, 121.887,   , 33,PDE  
  1979,02,05,095518   , 24.162, 123.802,5.4, 39,PDE  
  1979,02,24,043801.40, 23.906, 123.403,4.5, 68,PDE  
  1979,03,02,123436.70, 23.481, 121.745,4.6, 33,PDE  
  1979,03,04,003638.20, 24.354, 123.575,5.2, 33,PDE  
  1979,03,14,092649.10, 24.557, 122.019,4.0, 81,PDE  
  1979,03,18,145028.70, 23.300, 122.174,4.2, 33,PDE  
  1979,03,21,214545   , 24.434, 122.314,4.8, 18,PDE  
  1979,03,24,022941   , 23.658, 121.728,   , 17,PDE  
  1979,03,31,141713.30, 24.144, 123.449,4.8, 33,PDE  
  1979,04,19,121847.90, 24.241, 125.356,4.3, 70,PDE  
  1979,04,29,215308.50, 24.896, 126.849,4.5,123,PDE  
  1979,05,07,083138.90, 23.071, 125.736,5.1, 33,PDE  
  1979,05,10,230924.50, 23.794, 122.592,4.7, 33,PDE  
  1979,05,11,090211.70, 24.071, 122.597,5.0, 22,PDE  
  1979,05,24,151842.60, 24.436, 122.666,   , 27,PDE  
  1979,06,01,170431.80, 23.674, 122.685,5.0, 33,PDE  
  1979,06,02,033125.90, 23.766, 121.793,   ,  5,PDE  
  1979,06,03,232025.50, 23.408, 121.764,4.3, 53,PDE  
  1979,06,06,171138.50, 24.720, 122.579,   , 10,PDE  
  1979,06,07,070406.40, 24.827, 124.033,4.0, 97,PDE  
  1979,06,10,043353.50, 22.911, 122.926,4.2, 33,PDE  
  1979,06,15,103203.50, 24.882, 128.597,5.0, 33,PDE  
  1979,06,19,124623.60, 23.989, 122.401,4.5, 33,PDE  
  1979,06,27,014041.70, 24.696, 122.869,4.9, 33,PDE  
  1979,07,17,090343.30, 24.412, 124.199,4.0, 33,PDE  
  1979,07,20,151228.90, 23.234, 121.678,5.1, 27,PDE  
  1979,07,21,160253.20, 24.122, 122.690,   , 33,PDE  
  1979,07,24,152028.80, 24.099, 121.699,4.2, 33,PDE  
  1979,07,28,165440   , 24.364, 126.654,4.7, 33,PDE  
  1979,07,30,210434.60, 24.056, 122.329,4.4, 33,PDE  
  1979,08,05,171501.20, 24.434, 121.963,4.0,  7,PDE  
  1979,08,12,082408.70, 24.264, 124.678,4.9, 73,PDE  
  1979,08,19,094928.50, 23.939, 122.473,4.4, 50,PDE  
  1979,08,25,144630.60, 23.924, 121.787,4.3, 33,PDE  
  1979,08,26,090407.10, 24.050, 121.783,4.2, 33,PDE  
  1979,08,26,213528.30, 23.944, 121.805,4.6, 50,PDE  
  1979,09,15,180451.70, 24.743, 122.875,3.8,138,PDE  
  1979,09,23,042407.20, 24.756, 122.005,4.3, 96,PDE  
  1979,10,03,013601.70, 23.477, 121.779,4.2, 18,PDE  
  1979,10,08,050309.80, 23.941, 121.824,5.0, 31,PDE  
  1979,10,20,090324.90, 24.608, 122.584,   , 33,PDE  
  1979,11,03,181136.80, 24.667, 122.060,   , 74,PDE  
  1979,11,11,092303.10, 23.960, 122.306,4.0, 33,PDE  
  1979,11,17,173411.20, 23.606, 122.157,4.5, 33,PDE  
  1979,11,18,210126.30, 24.132, 126.264,4.5, 33,PDE  
  1979,11,24,051759.80, 24.037, 122.561,4.1, 33,PDE  
  1979,12,23,094631.10, 22.965, 121.740,5.1, 33,PDE  
  1979,12,24,213851.70, 23.929, 122.507,4.6, 33,PDE  
  1979,12,26,025935.10, 23.320, 121.972,   , 33,PDE  
  1979,12,27,114031   , 23.462, 122.987,4.2, 33,PDE  
  1980,01,01,203350.60, 24.052, 121.719,4.0, 65,PDE  
  1980,01,14,051203.80, 23.940, 124.659,5.0, 33,PDE  
  1980,01,17,050123.70, 24.629, 122.727,3.9, 96,PDE  
  1980,01,22,152219.90, 23.837, 121.870,4.0, 33,PDE  
  1980,01,23,151904.50, 23.863, 125.266,4.0, 33,PDE  
  1980,01,25,090939.40, 24.591, 122.327,   , 33,PDE  
  1980,02,07,103103.40, 24.542, 124.073,4.2, 33,PDE  
  1980,02,09,052438.10, 24.788, 122.280,4.5, 72,PDE  
  1980,02,10,024313.90, 24.498, 123.063,4.8,106,PDE  
  1980,02,11,042822.30, 24.568, 126.305,4.6, 33,PDE  
  1980,02,14,014242.60, 23.985, 122.660,4.3, 33,PDE  
  1980,02,14,085136.70, 25.204, 124.357,4.2,126,PDE  
  1980,02,28,073621.50, 23.922, 123.392,4.4, 67,PDE  
  1980,03,08,000303.30, 24.701, 123.163,4.7, 31,PDE  
  1980,03,08,182605.50, 24.635, 123.166,4.2, 33,PDE  
  1980,03,08,185410.20, 24.684, 123.157,4.4, 33,PDE  
  1980,03,09,074825.10, 24.423, 124.664,4.5, 33,PDE  
  1980,03,14,075524.70, 25.225, 123.414,4.8,177,PDE  
  1980,03,15,224557.60, 24.912, 122.447,4.2, 33,PDE  
  1980,03,28,132708.20, 24.842, 122.410,4.8, 10,PDE  
  1980,03,28,133822.90, 24.837, 122.434,4.6, 10,PDE  
  1980,03,28,191709.80, 24.845, 122.406,4.8, 10,PDE  
  1980,04,03,233609.80, 24.108, 122.187,4.4, 33,PDE  
  1980,04,08,063901   , 23.584, 121.717,4.2, 45,PDE  
  1980,04,17,062908.90, 23.726, 126.799,5.4, 33,PDE  
  1980,04,30,152625.40, 24.847, 125.261,4.8, 78,PDE  
  1980,05,12,122349.80, 24.653, 122.889,   , 33,PDE  
  1980,05,14,022651.20, 25.115, 125.903,4.4, 33,PDE  
  1980,05,16,040231.80, 24.001, 123.391,4.0, 33,PDE  
  1980,05,16,080305.90, 24.007, 123.384,3.8, 33,PDE  
  1980,05,28,001917.50, 24.126, 122.191,   , 10,PDE  
  1980,05,28,052720.10, 24.539, 122.075,3.8, 71,PDE  
  1980,05,28,185636.60, 24.687, 122.031,   , 10,PDE  
  1980,05,29,154146.50, 24.629, 122.511,4.9, 21,PDE  
  1980,06,02,041730.70, 24.633, 122.504,3.9, 91,PDE  
  1980,06,06,172820   , 23.869, 122.648,   , 33,PDE  
  1980,06,06,215053.50, 23.358, 122.822,4.3, 26,PDE  
  1980,06,06,235518.30, 24.919, 124.197,4.8, 92,PDE  
